Table Name,Row Count,Table Name,Row Count,
ohlc_240701,73182,ohlc_240701,73182,0
ohlc_240702,69569,ohlc_240702,69569,0
ohlc_240703,46183,ohlc_240703,46183,0
ohlc_240705,84701,ohlc_240705,84701,0
ohlc_240708,69141,ohlc_240708,69141,0
ohlc_240709,60509,ohlc_240709,60509,0
ohlc_240710,80370,ohlc_240710,80370,0
ohlc_240711,82368,ohlc_240711,82368,0
ohlc_240712,92970,ohlc_240712,92970,0
ohlc_240715,82564,ohlc_240715,82564,0
ohlc_240716,0,ohlc_240716,69749,-69749
ohlc_240717,85813,ohlc_240717,85813,0
ohlc_240718,97357,ohlc_240718,97357,0
ohlc_240719,94838,ohlc_240719,94838,0
ohlc_240722,88393,ohlc_240722,88393,0
ohlc_240723,69609,ohlc_240723,69609,0
ohlc_240724,114224,ohlc_240724,114224,0
ohlc_240725,88737,ohlc_240725,88737,0
ohlc_240726,90193,ohlc_240726,90193,0
ohlc_240729,76614,ohlc_240729,76614,0
ohlc_240730,87087,ohlc_240730,87087,0
ohlc_240731,93992,ohlc_240731,93992,0
ohlc_240801,111332,ohlc_240801,111332,0
ohlc_240802,0,ohlc_240802,126670,-126670
ohlc_240805,131883,ohlc_240805,131883,0
ohlc_240806,107784,ohlc_240806,107784,0
ohlc_240807,108463,ohlc_240807,108463,0
ohlc_240808,96548,ohlc_240808,96548,0
